"Description","Coverage [%]","# Peptides","Found in Sample: [S38] F38: Sample, w/o sm, with Rs, heavy","Found in Sample: [S39] F39: Sample, w/o sm, with Rs, heavy","Found in Sample: [S40] F40: Sample, w/o sm, with Rs, heavy","Found in Sample: [S41] F41: Sample, w/o sm, with Rs, heavy","Found in Sample: [S42] F42: Sample, w/o sm, with Rs, heavy","Found in Sample: [S44] F44: Sample, w/o sm, with Rs, heavy","Found in Sample: [S47] F47: Sample, w/o sm, with Rs, heavy","Found in Sample: [S48] F48: Sample, w/o sm, with Rs, heavy","Found in Sample: [S49] F49: Sample, w/o sm, with Rs, heavy","Found in Sample: [S5] F5: Sample, w/o sm, with Rs, light","Found in Sample: [S7] F7: Sample, w/o sm, with Rs, light","Found in Sample: [S9] F9: Sample, w/o sm, with Rs, light","Found in Sample: [S11] F11: Sample, w/o sm, with Rs, light","Found in Sample: [S13] F13: Sample, w/o sm, with Rs, light","Found in Sample: [S17] F17: Sample, w/o sm, with Rs, light","Found in Sample: [S23] F23: Sample, w/o sm, with Rs, light","Found in Sample: [S26] F26: Sample, w/o sm, with Rs, light","Found in Sample: [S29] F29: Sample, w/o sm, with Rs, light","Found in Sample: [S35] F35: Sample, with sm, with Rs, heavy","Found in Sample: [S36] F36: Sample, with sm, with Rs, heavy","Found in Sample: [S37] F37: Sample, with sm, with Rs, heavy","Found in Sample: [S43] F43: Sample, with sm, with Rs, heavy","Found in Sample: [S45] F45: Sample, with sm, with Rs, heavy","Found in Sample: [S46] F46: Sample, with sm, with Rs, heavy","Found in Sample: [S50] F50: Sample, with sm, with Rs, heavy","Found in Sample: [S51] F51: Sample, with sm, with Rs, heavy","Found in Sample: [S52] F52: Sample, with sm, with Rs, heavy","Found in Sample: [S1] F1: Sample, with sm, with Rs, light","Found in Sample: [S2] F2: Sample, with sm, with Rs, light","Found in Sample: [S3] F3: Sample, with sm, with Rs, light","Found in Sample: [S15] F15: Sample, with sm, with Rs, light","Found in Sample: [S18] F18: Sample, with sm, with Rs, light","Found in Sample: [S22] F22: Sample, with sm, with Rs, light","Found in Sample: [S30] F30: Sample, with sm, with Rs, light","Found in Sample: [S32] F32: Sample, with sm, with Rs, light","Found in Sample: [S34] F34: Sample, with sm, with Rs, light"
"Rhiso1 2311|g2311.t1",10,6,"High","High","Not Found","Not Found","High","Not Found","High","Not Found","High","High","High","High","Not Found","Not Found","High","High","High","High","High","High","Not Found","High","Not Found","Not Found","High","High","High","High","High","High","High","High","High","Not Found","Not Found","High"
"Rhiso1 5004|g5004.t1",29,5,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","Not Found","High","High","High","High","High","High","High","High","High","Not Found","High","High"
"Rhiso1 7075|g7075.t1",38,5,"High","High","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","High","High","Not Found","High","Not Found","Not Found","High","High","High","Not Found","High","High","Not Found","Not Found","Not Found","Not Found","Not Found","High","Not Found","High","High","High","High","High","High","Not Found","High","High"
"Rhiso1 836|g836.t1",12,4,"High","High","Not Found","Not Found","Not Found","High","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","High","High","High","Not Found","Not Found","High","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","High","Not Found","Not Found","Not Found","High","High","Not Found","Not Found","High"
"Rhiso1 1586|g1586.t1",9,4,"High","High","Not Found","High","High","High","High","High","High","High","High","Not Found","Not Found","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","Not Found","High","High","Not Found","High","High"
"Rhiso1 470|g470.t1",4,3,"High","High","Not Found","High","Not Found","Not Found","High","High","Not Found","High","Not Found","Not Found","Not Found","Not Found","High","High","Not Found","High","Not Found","High","High","Not Found","High","Not Found","Not Found","High","Not Found","High","High","Not Found","Not Found","Not Found","High","Not Found","Not Found","High"
"Rhiso1 7335|g7335.t1",10,3,"High","High","High","High","High","Not Found","High","High","High","Not Found","High","Not Found","High","Not Found","High","High","Not Found","Not Found","High","High","High","Not Found","High","High","High","High","Not Found","High","High","Not Found","High","High","High","Not Found","Not Found","High"
"Rhiso1 3021|g3021.t1",5,3,"High","High","High","Not Found","Not Found","Not Found","High","Not Found","Not Found","Not Found","Not Found","High","Not Found","Not Found","High","High","High","Not Found","Not Found","High","Not Found","Not Found","Not Found","Not Found","High","High","Not Found","High","High","Not Found","High","Not Found","High","Not Found","Not Found","High"
"Rhiso1 8262|g8262.t1",10,3,"High","High","High","Not Found","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","Not Found","High","High","High","High","High","High","High","High","High","High","High","High","Not Found","Not Found","High"
"Rhiso1 4669|g4669.t1",5,3,"High","High","Not Found","High","High","Not Found","High","High","High","High","High","High","High","Not Found","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","Not Found","High","High"
"Rhiso1 2418|g2418.t1",9,2,"High","High","Not Found","Not Found","High","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","High","Not Found","High","Not Found","High","High","Not Found","Not Found","High","Not Found","High","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found"
