"Description","Coverage [%]","# Peptides","Found in Sample: [S4] F4: Sample, w/o sm, w/o Rs, none","Found in Sample: [S10] F10: Sample, w/o sm, w/o Rs, none","Found in Sample: [S12] F12: Sample, w/o sm, w/o Rs, none","Found in Sample: [S14] F14: Sample, w/o sm, w/o Rs, none","Found in Sample: [S16] F16: Sample, w/o sm, w/o Rs, none","Found in Sample: [S24] F24: Sample, w/o sm, w/o Rs, none","Found in Sample: [S27] F27: Sample, w/o sm, w/o Rs, none","Found in Sample: [S28] F28: Sample, w/o sm, w/o Rs, none","Found in Sample: [S53] F53: Sample, w/o sm, w/o Rs, none","Found in Sample: [S38] F38: Sample, w/o sm, with Rs, heavy","Found in Sample: [S39] F39: Sample, w/o sm, with Rs, heavy","Found in Sample: [S40] F40: Sample, w/o sm, with Rs, heavy","Found in Sample: [S41] F41: Sample, w/o sm, with Rs, heavy","Found in Sample: [S42] F42: Sample, w/o sm, with Rs, heavy","Found in Sample: [S44] F44: Sample, w/o sm, with Rs, heavy","Found in Sample: [S47] F47: Sample, w/o sm, with Rs, heavy","Found in Sample: [S48] F48: Sample, w/o sm, with Rs, heavy","Found in Sample: [S49] F49: Sample, w/o sm, with Rs, heavy","Found in Sample: [S5] F5: Sample, w/o sm, with Rs, light","Found in Sample: [S7] F7: Sample, w/o sm, with Rs, light","Found in Sample: [S9] F9: Sample, w/o sm, with Rs, light","Found in Sample: [S11] F11: Sample, w/o sm, with Rs, light","Found in Sample: [S13] F13: Sample, w/o sm, with Rs, light","Found in Sample: [S17] F17: Sample, w/o sm, with Rs, light","Found in Sample: [S23] F23: Sample, w/o sm, with Rs, light","Found in Sample: [S26] F26: Sample, w/o sm, with Rs, light","Found in Sample: [S29] F29: Sample, w/o sm, with Rs, light","Found in Sample: [S6] F6: Sample, with sm, w/o Rs, none","Found in Sample: [S8] F8: Sample, with sm, w/o Rs, none","Found in Sample: [S19] F19: Sample, with sm, w/o Rs, none","Found in Sample: [S20] F20: Sample, with sm, w/o Rs, none","Found in Sample: [S21] F21: Sample, with sm, w/o Rs, none","Found in Sample: [S25] F25: Sample, with sm, w/o Rs, none","Found in Sample: [S31] F31: Sample, with sm, w/o Rs, none","Found in Sample: [S33] F33: Sample, with sm, w/o Rs, none","Found in Sample: [S54] F54: Sample, with sm, w/o Rs, none","Found in Sample: [S35] F35: Sample, with sm, with Rs, heavy","Found in Sample: [S36] F36: Sample, with sm, with Rs, heavy","Found in Sample: [S37] F37: Sample, with sm, with Rs, heavy","Found in Sample: [S43] F43: Sample, with sm, with Rs, heavy","Found in Sample: [S45] F45: Sample, with sm, with Rs, heavy","Found in Sample: [S46] F46: Sample, with sm, with Rs, heavy","Found in Sample: [S50] F50: Sample, with sm, with Rs, heavy","Found in Sample: [S51] F51: Sample, with sm, with Rs, heavy","Found in Sample: [S52] F52: Sample, with sm, with Rs, heavy","Found in Sample: [S1] F1: Sample, with sm, with Rs, light","Found in Sample: [S2] F2: Sample, with sm, with Rs, light","Found in Sample: [S3] F3: Sample, with sm, with Rs, light","Found in Sample: [S15] F15: Sample, with sm, with Rs, light","Found in Sample: [S18] F18: Sample, with sm, with Rs, light","Found in Sample: [S22] F22: Sample, with sm, with Rs, light","Found in Sample: [S30] F30: Sample, with sm, with Rs, light","Found in Sample: [S32] F32: Sample, with sm, with Rs, light","Found in Sample: [S34] F34: Sample, with sm, with Rs, light"
"original description: pep primary_assembly:Lsat_Salinas_v7:4:372826493:372843153:-1 gene:gene-LSAT_4X183881 transcript:rna-gnl|WGS:NBSK|LSAT_4X183881_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",56,177,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High"
"swissprot: Ferredoxin-dependent glutamate synthase 1, chloroplastic/mitochondrial OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:5:289215846:289224209:1 gene:gene-LSAT_5X158001 transcript:rna-gnl|WGS:NBSK|LSAT_5X158001_mrna gene_biotype:protein_coding transcript_biotype:protein_coding description:glutamate synthase 1 [Source:Projected from Arabidopsis thaliana (AT5G04140) TAIR;Acc:AT5G04140]",51,67,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","Peak Found","High","High"
"swissprot: ATP synthase subunit beta, chloroplastic OS=Lactuca sativa  | original description: pep primary_assembly:Lsat_Salinas_v7:3:158187888:158189378:-1 gene:gene-LSAT_3X99261 transcript:rna-gnl|WGS:NBSK|LSAT_3X99261_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",87,35,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High"
"original description: pep primary_assembly:Lsat_Salinas_v7:3:46346602:46354229:-1 gene:gene-LSAT_3X34740 transcript:rna-gnl|WGS:NBSK|LSAT_3X34740_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",64,75,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","Peak Found","High","High"
"swissprot: Ribulose bisphosphate carboxylase large chain OS=Lactuca sativa  | original description: pep primary_assembly:Lsat_Salinas_v7:2:165461105:165462559:-1 gene:gene-LSAT_2X89801 transcript:rna-gnl|WGS:NBSK|LSAT_2X89801_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",70,42,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High"
"swissprot: Glycine dehydrogenase (decarboxylating) A, mitochondrial OS=Flaveria pringlei  | original description: pep primary_assembly:Lsat_Salinas_v7:3:32532020:32536853:-1 gene:gene-LSAT_3X24441 transcript:rna-gnl|WGS:NBSK|LSAT_3X24441_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",54,45,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","Peak Found","High","High"
"swissprot: Ribulose bisphosphate carboxylase/oxygenase activase 1, chloroplastic OS=Larrea tridentata  | original description: pep primary_assembly:Lsat_Salinas_v7:2:197197123:197199342:1 gene:gene-LSAT_2X118741 transcript:rna-gnl|WGS:NBSK|LSAT_2X118741_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",68,32,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","Peak Found","High","High"
"swissprot: Phosphoglycerate kinase, chloroplastic OS=Nicotiana tabacum  | original description: pep primary_assembly:Lsat_Salinas_v7:7:107860518:107862980:-1 gene:gene-LSAT_7X69401 transcript:rna-gnl|WGS:NBSK|LSAT_7X69401_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",77,37,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High"
"swissprot: 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase OS=Catharanthus roseus  | original description: pep primary_assembly:Lsat_Salinas_v7:6:44829170:44833693:1 gene:gene-LSAT_6X32121 transcript:rna-gnl|WGS:NBSK|LSAT_6X32121_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",55,40,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","Peak Found","High","High"
"swissprot: Transketolase, chloroplastic OS=Spinacia oleracea  | original description: pep primary_assembly:Lsat_Salinas_v7:7:9416759:9420903:-1 gene:gene-LSAT_7X9600 transcript:rna-gnl|WGS:NBSK|LSAT_7X9600_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",52,32,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","Peak Found","High","High"
